class,petal-shape,petal-surface,petal-color,petal-secondary-color,thorns,scent,fruit-taste,fruit-spacing,fruit-size,fruit-color,root,stem,stem-surface-primary,stem-surface-secondary,seed-color,seed-size,reproductive-organ-color,reproductive-organ,receptacle-shape,seed-dispersal,population,habitat
p,x,s,n,w,t,p,f,c,n,k,e,e,s,s,w,p,w,o,p,k,s,u
e,x,s,y,w,t,a,f,c,b,k,c,e,s,s,w,p,w,o,p,n,n,g
e,b,s,w,w,t,l,f,c,b,n,c,e,s,s,w,p,w,o,p,n,n,m
p,x,y,w,w,t,p,f,c,n,n,e,e,s,s,w,p,w,o,p,k,s,u
e,x,s,g,w,f,n,f,w,b,k,e,t,s,s,w,p,w,o,e,n,a,g
e,x,y,y,w,t,a,f,c,b,n,c,e,s,s,w,p,w,o,p,k,n,g
e,b,s,w,w,t,a,f,c,b,g,c,e,s,s,w,p,w,o,p,k,n,m
e,b,y,w,w,t,l,f,c,b,n,c,e,s,s,w,p,w,o,p,n,s,m
p,x,y,w,w,t,p,f,c,n,p,e,e,s,s,w,p,w,o,p,k,v,g
e,b,s,y,w,t,a,f,c,b,g,c,e,s,s,w,p,w,o,p,k,s,m
e,x,y,y,w,t,l,f,c,b,g,c,e,s,s,w,p,w,o,p,n,n,g
e,x,y,y,w,t,a,f,c,b,n,c,e,s,s,w,p,w,o,p,k,s,m
e,b,s,y,w,t,a,f,c,b,w,c,e,s,s,w,p,w,o,p,n,s,g
p,x,y,w,w,t,p,f,c,n,k,e,e,s,s,w,p,w,o,p,n,v,u
e,x,f,n,w,f,n,f,w,b,n,e,t,s,f,w,p,w,o,e,k,a,g
e,s,f,g,w,f,n,f,c,n,k,e,e,s,s,w,p,w,o,p,n,y,u
e,f,f,w,w,f,n,f,w,b,k,e,t,s,s,w,p,w,o,e,n,a,g
p,x,s,n,w,t,p,f,c,n,n,e,e,s,s,w,p,w,o,p,k,s,g
p,x,y,w,w,t,p,f,c,n,n,e,e,s,s,w,p,w,o,p,n,s,u
p,x,s,n,w,t,p,f,c,n,k,e,e,s,s,w,p,w,o,p,n,s,u
e,b,s,y,w,t,a,f,c,b,k,c,e,s,s,w,p,w,o,p,n,s,m
p,x,y,n,w,t,p,f,c,n,n,e,e,s,s,w,p,w,o,p,n,v,g
e,b,y,y,w,t,l,f,c,b,k,c,e,s,s,w,p,w,o,p,n,s,m
e,b,y,w,w,t,a,f,c,b,w,c,e,s,s,w,p,w,o,p,n,n,m
e,b,s,w,w,t,l,f,c,b,g,c,e,s,s,w,p,w,o,p,k,s,m
p,f,s,w,w,t,p,f,c,n,n,e,e,s,s,w,p,w,o,p,n,v,g
e,x,y,y,w,t,a,f,c,b,n,c,e,s,s,w,p,w,o,p,n,n,m
e,x,y,w,w,t,l,f,c,b,w,c,e,s,s,w,p,w,o,p,n,n,m
e,f,f,n,w,f,n,f,c,n,k,e,e,s,s,w,p,w,o,p,k,y,u
e,x,s,y,w,t,a,f,w,n,n,b,t,s,s,w,p,w,o,p,n,v,d
e,b,s,y,w,t,l,f,c,b,g,c,e,s,s,w,p,w,o,p,n,n,m
p,x,y,w,w,t,p,f,c,n,k,e,e,s,s,w,p,w,o,p,n,s,u
e,x,y,y,w,t,l,f,c,b,n,c,e,s,s,w,p,w,o,p,n,n,m
e,x,y,n,w,t,l,f,c,b,p,r,e,s,y,w,p,w,o,p,n,y,p
e,b,y,y,w,t,l,f,c,b,n,c,e,s,s,w,p,w,o,p,n,s,m
e,x,f,y,w,t,l,f,w,n,w,b,t,s,s,w,p,w,o,p,n,v,d
e,s,f,g,w,f,n,f,c,n,k,e,e,s,s,w,p,w,o,p,k,v,u
p,x,y,n,w,t,p,f,c,n,w,e,e,s,s,w,p,w,o,p,n,s,u
e,x,f,y,w,t,a,f,w,n,p,b,t,s,s,w,p,w,o,p,n,v,d
e,b,s,y,w,t,l,f,c,b,k,c,e,s,s,w,p,w,o,p,k,s,m
e,b,y,y,w,t,a,f,c,b,n,c,e,s,s,w,p,w,o,p,n,s,g
e,x,y,y,w,t,l,f,c,b,n,r,e,s,y,w,p,w,o,p,k,y,p
e,x,f,n,w,f,n,f,c,n,g,e,e,s,s,w,p,w,o,p,k,y,u
p,x,y,w,w,t,p,f,c,n,p,e,e,s,s,w,p,w,o,p,n,v,g
e,x,s,y,w,t,a,f,c,b,w,c,e,s,s,w,p,w,o,p,k,n,m
e,x,y,w,w,t,a,f,c,b,n,c,e,s,s,w,p,w,o,p,n,n,g
e,x,y,y,w,t,l,f,c,b,k,c,e,s,s,w,p,w,o,p,k,s,m
e,x,s,w,w,t,l,f,c,b,w,c,e,s,s,w,p,w,o,p,n,n,m
e,x,y,y,w,t,l,f,c,b,n,r,e,s,y,w,p,w,o,p,n,s,p
e,f,y,y,w,t,l,f,c,b,w,r,e,s,y,w,p,w,o,p,k,s,p
e,x,y,n,w,t,a,f,c,b,w,r,e,s,y,w,p,w,o,p,k,s,g
e,x,s,w,w,t,l,f,c,b,k,c,e,s,s,w,p,w,o,p,k,s,g
e,b,s,w,w,t,l,f,c,b,k,c,e,s,s,w,p,w,o,p,n,n,m
p,x,y,n,w,t,p,f,c,n,k,e,e,s,s,w,p,w,o,p,n,v,u
p,x,s,w,w,t,p,f,c,n,k,e,e,s,s,w,p,w,o,p,k,v,u
e,b,y,y,w,t,a,f,c,b,w,c,e,s,s,w,p,w,o,p,k,s,m
e,f,f,g,w,f,n,f,w,b,n,e,t,s,s,w,p,w,o,e,n,a,g
e,b,s,w,w,t,a,f,c,b,w,c,e,s,s,w,p,w,o,p,n,n,g
e,x,s,y,w,t,l,f,c,b,k,c,e,s,s,w,p,w,o,p,k,n,g
e,x,y,n,w,t,a,f,c,b,p,r,e,s,y,w,p,w,o,p,k,y,p
e,s,f,g,w,f,n,f,c,n,k,e,e,s,s,w,p,w,o,p,n,v,u
e,b,y,y,w,t,a,f,c,b,k,c,e,s,s,w,p,w,o,p,n,s,m
e,b,s,y,w,t,l,f,c,b,g,c,e,s,s,w,p,w,o,p,n,s,m
e,b,y,y,w,t,l,f,c,b,g,c,e,s,s,w,p,w,o,p,n,n,m
